DER321, PROCE. Y PRACT. PROC. ADM.
DER215, PROCE. ,  PRACT. PROC. PENAL
COM308, PRODUC. PUBLICIDAD - Aula edificio 5
COM307, PRODUC. TELEVISION 
COM415, PRODUCCION DE ARTES GRAFICAS 
COM306, PRODUCCION DE AUDIO
COM426, PRODUCCION DE NOTICIAS - Aula Recursos Audiovisual
COM316, PRODUCCIÓN AUDIOVISUAL I 
CEPA-05, PRODUCCIÓN DE RADIO EN DIRECTO
IND502, PRODUCTIVIDAD Y CALIDAD
CCC207, PROGRA. INGENIERIA
CCC306, PROGRAMACION
CDA-03, PROGRAMACION CON SWIFT
CCC104, PROGRAMACION I
CCC105, PROGRAMACION II
CCC208, PROGRAMACION III
CCC205, PROGRAMACION IV
DER401, PROMOCION Y NEGOCIACION INVER.
MER304, PROMOCION Y PUB. INTER.
DER314, PROPIEDAD INTELECTUAL
ARQ205, PROYEC. PERSPE. SOMBRAS II - Modalida Presencial Horario 2 Días
PSE308, PSICODIAGNOSTICO - Plan viejo Comp. secc. 539
PSE311, PSICODIAGNÓSTICO I
PSE212, PSICOL. DES. HUMANO I
PSE213, PSICOL. DES. HUMANO II
PSE202, PSICOLOGIA DEL CONFLICTO - Plan Viejo Tutorial
PSI202, PSICOLOGIA DEL DISEÑO
CCD-9, PSICOLOGIA DEPORTIVA II
PSE309, PSICOLOGIA EDUCATIVA - Plan Viejo comp. secc. 559 UNITEC
PSE402, PSICOLOGIA HIG. SEG. INDUSTRI. - Plan Viejo
PSE103, PSICOLOGIA ORGANIZACIONAL
PSE207, PSICOLOGIA PROCES. SOCIALES - Clase Tutorial
PSE208, PSICOLOGIA SOCIAL
PSE303, PSICOLOGIA Y ERGONOMIA EMPR. - Comp. con sección 382 de Ceutec
PSE313, PSICOLOGÍA COMUNITARIA
PSE315, PSICOLOGÍA EDUCATIVA I
PSE405, PSICOLOGÍA EDUCATIVA III - Clase Tutorial
PSE203, PSICOMETRIA I
PSE205, PSICOMETRIA II
PSE312, PSICOMETRÍA IV
PSE302, PSICOPATOLOGIA - Plan Viejo Comp. secc. 538
PSE214, PSICOPATOLOGÍA I
PSE407, PSIQUIATRÍA GENERAL - Clase Intensiva de 8:30am a 11:40am
MER203, PUBLICIDAD
CIV507, PUENTES
QUI101, QUIMICA GENERAL
NUE208, QUÍMICA, DE ALIMENTOS - Laboratorio dia martes
CGTH-06, RECURSOS ADMINISTRATIVOS
COM208, REDACC. PARA LOS MEDIOS - Aula recursos audiovisual
COM207, REDACCION 
CCC404, REDES
TEL409, REDES DE COMUNICACIÓN
